adamsta0109,terrya@contoso.edu,Terry,Adams,1091990
beebeab0211,annb@contoso.edu,Ann,Beebe,2111991
cannocc0328,chrisc@contoso.edu,Chris,Cannon,3281986
desaipd0430,prashanthd@contoso.edu,Prashanth,Desi,4301989
ersanee0529,ebrue@contoso.edu,Ebru,Ersan,5291988
flipffo0628,florencef@contoso.edu,Florence,Flipo,6281989
garciadg0726,debrag@contoso.edu,Debra,Garcia,7271986
halbeph0826,pernilleh@contoso.edu,Pernille,Halberg,8261986
ilyinji0925,julial@contoso.edu,Julia,Ilyina,9251985
johnstj1024,tamaraj@contoso.edu,Tamara,Johnston,10241987
